ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
73,0.000,0.000,0.000,0.000,contextlib.py:112(__enter__)
73,0.000,0.000,0.000,0.000,contextlib.py:121(__exit__)
2,0.000,0.000,0.000,0.000,__init__.py:109(import_module)
73,0.000,0.000,0.000,0.000,contextlib.py:242(helper)
1,0.000,0.000,0.000,0.000,warnings.py:165(simplefilter)
1,0.000,0.000,0.000,0.000,warnings.py:181(_add_filter)
32,0.000,0.000,0.000,0.000,inspect.py:73(isclass)
1169,0.001,0.000,0.001,0.000,warnings.py:437(__init__)
1169,0.002,0.000,0.002,0.000,warnings.py:458(__enter__)
1169,0.001,0.000,0.001,0.000,warnings.py:477(__exit__)
187,0.000,0.000,0.000,0.000,inspect.py:81(ismethod)
241,0.000,0.000,0.000,0.000,inspect.py:159(isfunction)
23,0.000,0.000,0.000,0.000,inspect.py:286(isbuiltin)
210,0.000,0.000,0.000,0.000,inspect.py:367(<lambda>)
6,0.000,0.000,0.000,0.000,inspect.py:326(getmembers)
5,0.000,0.000,0.000,0.000,inspect.py:488(getmro)
18,0.000,0.000,0.000,0.000,inspect.py:514(_is_wrapper)
18,0.000,0.000,0.000,0.000,inspect.py:494(unwrap)
5,0.000,0.000,0.000,0.000,inspect.py:1838(_signature_bound_method)
6,0.000,0.000,0.000,0.000,inspect.py:1876(_signature_is_functionlike)
18,0.000,0.000,0.000,0.000,inspect.py:2150(_signature_from_function)
23/18,0.000,0.000,0.000,0.000,inspect.py:2244(_signature_from_callable)
30,0.000,0.000,0.000,0.000,inspect.py:2515(__init__)
34,0.000,0.000,0.000,0.000,inspect.py:2565(name)
56,0.000,0.000,0.000,0.000,inspect.py:2569(default)
18,0.000,0.000,0.000,0.000,inspect.py:2577(kind)
41,0.000,0.000,0.000,0.000,inspect.py:2847(<genexpr>)
23,0.000,0.000,0.000,0.000,inspect.py:2798(__init__)
18,0.000,0.000,0.001,0.000,inspect.py:2876(from_callable)
23,0.000,0.000,0.000,0.000,inspect.py:2882(parameters)
5,0.000,0.000,0.000,0.000,inspect.py:2890(replace)
18,0.000,0.000,0.001,0.000,inspect.py:3128(signature)
73,0.000,0.000,0.000,0.000,pathlib.py:64(parse_parts)
1,0.000,0.000,0.000,0.000,weakref.py:105(__init__)
1,0.000,0.000,0.000,0.000,weakref.py:162(__setitem__)
1,0.000,0.000,0.000,0.000,weakref.py:287(update)
1,0.000,0.000,0.000,0.000,weakref.py:345(__new__)
1,0.000,0.000,0.000,0.000,weakref.py:350(__init__)
2,0.000,0.000,0.000,0.000,_weakrefset.py:17(__init__)
2,0.000,0.000,0.000,0.000,_weakrefset.py:21(__enter__)
2,0.000,0.000,0.000,0.000,_weakrefset.py:27(__exit__)
1,0.000,0.000,0.000,0.000,_weakrefset.py:37(__init__)
2,0.000,0.000,0.000,0.000,_weakrefset.py:53(_commit_removals)
3,0.000,0.000,0.000,0.000,_weakrefset.py:59(__iter__)
2,0.000,0.000,0.000,0.000,_weakrefset.py:82(add)
1,0.000,0.000,0.000,0.000,_weakrefset.py:107(remove)
221,0.001,0.000,0.001,0.000,threading.py:228(__init__)
60322,0.020,0.000,0.033,0.000,threading.py:256(__enter__)
60322,0.018,0.000,0.025,0.000,threading.py:259(__exit__)
1,0.000,0.000,0.000,0.000,threading.py:265(_release_save)
1,0.000,0.000,0.000,0.000,threading.py:268(_acquire_restore)
60322,0.019,0.000,0.034,0.000,threading.py:271(_is_owned)
1,0.000,0.000,0.000,0.000,threading.py:280(wait)
60321,0.073,0.000,0.107,0.000,threading.py:351(notify)
2,0.000,0.000,0.000,0.000,threading.py:521(__init__)
2,0.000,0.000,0.000,0.000,threading.py:529(is_set)
1,0.000,0.000,0.000,0.000,threading.py:556(wait)
1,0.000,0.000,0.000,0.000,threading.py:750(_newname)
1,0.000,0.000,0.000,0.000,threading.py:795(__init__)
1,0.000,0.000,0.000,0.000,threading.py:873(start)
1,0.000,0.000,0.000,0.000,threading.py:1127(daemon)
1,0.000,0.000,0.000,0.000,threading.py:1142(daemon)
