img_number,iterations,loss,roll,pitch,yaw,x,y,z
0,1673,0.0830112624273874,-0.9240059668687305,-106.4415556116557,87.70534888439536,0.20178699410975764,0.14253658757488072,-0.2706855543324527
1,1385,3.53157059410707e-12,7.424446281840076,-98.4739429229835,74.59765704950286,0.25534242263188833,0.14931686933732996,0.22444825456402223
2,1584,1.059847270821233,22.83086833343858,-78.47454865970097,54.59963608477484,0.2567419886348498,0.17786956849606975,-0.03990996695769543
3,1158,1.7934936328541298e-11,35.8219677344774,-71.31964901081881,36.024102072596506,0.301710925176385,0.23194059897711655,-0.006381537712215089
4,1062,2.4193686309512937e-11,44.70213312788101,-73.46622683773984,22.090419499528934,0.3522204639998321,0.20040596199728128,0.2898849674964894
5,803,5.829123349604814e-11,34.94510204363708,-74.17346689983749,26.83764749539104,0.3123734673075389,0.21684219246616637,-0.009494497466010565
6,1651,0.02542066689988172,14.953406579451567,-85.29659923178428,42.29266667061587,0.2875761756264346,0.1744878981504541,-0.062010806151086895
7,1638,0.003757577888517168,5.994870208953332,-74.30400877077076,46.01985126740095,0.2349946714456601,0.24288653002630428,-0.9568113502671486
8,1439,0.1152065131866716,16.801010073375384,-66.37127289149743,30.21688915527036,0.2275563990887129,0.30417942566523704,-1.3158821688135274
9,1584,0.8072378564594997,-3.1988730319655367,-83.71550054789283,43.80562348040934,0.2766960130791614,0.29370466926643857,-0.2770704248225576
10,1535,0.1223994475254134,12.266658996684871,-70.85004602691976,23.80562353356689,0.26721026071603027,0.33366938915258404,-1.6150317105901086
11,1544,0.15471110115055256,-7.733340949594346,-75.57907776467671,40.03670303577785,0.22994666868664554,0.2763890632881335,-1.3976300360728477
12,1549,0.46597759710726766,5.897882707272454,-74.39002655074859,20.036703092101792,0.2980898518517054,0.31763507974214866,-1.390172764028347
13,779,5.594808118401141e-11,11.89403713347642,-73.57418876798687,9.29499957495062,0.3131546892893529,0.32494256276470085,-1.3989041533149038
