file_name,file_name_string,score,pitch,yaw,roll,x,y,z
0,A240105_15331309.png,0.0237304965823136,0.0,-89.55,79,0.975378108427001,0.0093786356579519,21.810780599888226
1,A240105_15341532.png,0.0387049007709073,0.0,-89.55,78,0.9692985485065414,-0.0559210701061466,21.67483337447544
2,A240105_15344411.png,0.0315428615900068,0.0,-89.55,72,0.9747463427013814,-0.1135626807030735,22.008271454084028
3,A240105_15350958.png,0.0313169387260878,0.0,-89.55,68,0.935887238451686,-0.1760579953522973,21.54932623651131
4,A240105_15353664.png,0.0263359670164971,0.0,-89.55,62,0.921070549587636,-0.2325935731281909,21.636611453785203
5,A240105_15360324.png,0.0361860932869803,0.0,-89.55,51,0.9179937642561724,-0.2933794504323849,22.008961022684545
6,A240105_15362816.png,0.033427524700607,40.124,-75.15,17,0.8605035116245465,-0.3423508594635293,21.517967282434277
7,A240105_15365955.png,0.03900897212075,0.0,-89.55,49,0.8352529277566539,-0.3990652877059568,21.58276299112801
8,A240105_15372505.png,0.0390971727038096,52.523,-86.85,349,0.8189866241319307,-0.4666319137495884,22.1467448386136
9,A240105_15375085.png,0.0261077748709651,92.648,-72.45,309,0.7412153934662008,-0.4941435956441339,21.280947271495865
10,A240105_15381825.png,0.0317948986014632,0.0,-89.55,206,0.6765431787214184,-0.5449931161922539,21.85216985534298
11,A240105_15384398.png,0.039525294961816,280.87,11.25,289,0.6932695063403812,-0.9567119187497262,16.122546659078637
12,A240105_15393229.png,0.0389866885009824,138.626,40.95,325,0.5725643599974864,-0.590741006346613,21.135635289682043
13,A240105_15395888.png,0.0396309683736053,138.626,40.95,316,0.561162982063324,-0.6546901457405446,21.750503180748996
14,A240105_15402562.png,0.0346424901881365,92.648,-72.45,282,0.4666236350513383,-0.6626055617729004,21.703424886108763
15,A240105_15405443.png,0.038545098505901,92.648,-72.45,277,0.4193642660917672,-0.7052944475179721,22.16513034311666
16,A240105_15412223.png,0.0327907798808973,92.648,-72.45,269,0.3394278084962912,-0.6882841672285906,21.926861013972307
17,A240105_15414938.png,0.0382977935009296,320.994,25.65,162,0.1517765749885796,-0.3872919499708583,12.171337208386497
18,A240105_15421687.png,0.0,0.0,0.0,0,0.0,0.0,0.0
19,A240105_15424640.png,0.0,0.0,0.0,0,0.0,0.0,0.0
20,A240105_15431405.png,0.0,0.0,0.0,0,0.0,0.0,0.0
21,A240105_15434132.png,0.0343070272182545,112.71,-65.25,225,-0.0184733534743202,-0.6465673716012083,21.480643574790975
22,A240105_15440906.png,0.0391177211507857,152.834,-50.85,342,-0.0733149440373557,-0.6140126563128543,21.312483731789463
23,A240105_15445082.png,0.0394753590917999,112.71,-65.25,215,-0.1386118298969071,-0.5821696855670102,21.490206185567008
24,A240105_15452032.png,0.0391615604154718,152.834,-50.85,334,-0.1934220344841254,-0.5526343842403583,21.4199373736573
25,A240105_15454882.png,0.035662543775124,92.648,-72.45,225,-0.2413201766004414,-0.4826403532008829,21.584988962472405
26,A240105_15461835.png,0.0376305777653808,320.994,25.65,114,-0.1751250618131868,-0.2653410027472527,12.341441988244314
27,A240105_15464537.png,0.0397990862916389,72.585,-79.65,233,-0.33107687849162,-0.397292254189944,21.998463687150835
28,A240105_15471531.png,0.0355040922919873,138.626,40.95,241,-0.3877305557106953,-0.3508038361192005,21.469023018310928
29,A240105_15474355.png,0.0373002103152586,72.585,-79.65,224,-0.4090335233027207,-0.2853722255600378,22.121877950390527
30,A240105_15481256.png,0.0397332401973706,152.834,-50.85,303,-0.4325334752199982,-0.220868157559148,21.40195325185543
31,A240105_15483933.png,0.0216792168311301,138.626,40.95,227,-0.4488001567360895,-0.1648653636989716,21.30043458643045
32,A240105_15490980.png,0.0283671359998474,47.787,-56.25,236,-0.431655633146966,-0.0931021953846397,19.683339404786416
33,A240105_15493756.png,0.0176814515453908,47.787,-56.25,231,-0.4414093629323695,-0.033954566379413,19.741026964775028
34,A240105_15500719.png,0.0168754844623706,47.787,-56.25,226,-0.4512276216801821,0.0255411861328405,19.799369095225195
35,A240105_15503880.png,0.0213677029923974,47.787,-56.25,222,-0.4372729735003461,0.0840909564423742,19.556036381947504
36,A240105_15510605.png,0.0343491548175246,7.663,-70.65,254,-0.4558513362764644,0.1430121839298712,20.78665464096965
